source,target,tgt_lng
ジルスタフ,吉魯斯塔夫,zh-TW
尻尾を掴みました,抓住了把柄了,zh-TW
血塗れのエース,血染的王牌,zh-TW
エース,王牌,zh-TW
ファビアン,法比安,zh-TW
ジェン,傑恩,zh-TW
マリッセ,瑪麗榭,zh-TW
ドクポリ,多庫波里,zh-TW
ルイ,路易,zh-TW
介錯した,代為行刑,zh-TW
おい帰れ,喂!給我回去,zh-TW
帰れ,回去,zh-TW
イルーヴェン,伊魯文,zh-TW
これで、講和だ,就這樣，講和吧,zh-TW
カリスマ性,領袖魅力,zh-TW
プレン,普連,zh-TW
ドルマッテオ,多爾馬特奧,zh-TW
ポールランド,波爾蘭,zh-TW
イリス・ヴァロウ様,伊莉絲·瓦洛大人,zh-TW
イリス様,伊莉絲大人,zh-TW
イリス,伊莉絲,zh-TW
クルーリィ,庫露莉,zh-TW
ヘレンズ,赫倫斯,zh-TW
テルミット,泰爾米特,zh-TW
ギュレルデン,居雷爾登,zh-TW
マズリー,瑪茲莉,zh-TW
ドロール,德羅爾,zh-TW
ジーヴェ,吉維,zh-TW
ケネル,凱內爾,zh-TW
シルフ攻勢,希爾芙攻勢,zh-TW
娘,女兒,zh-TW
キャレル,卡雷爾,zh-TW
そこにいたのか、貴様,原來那裡有你在嗎?你這傢伙...,zh-TW
アンナ,安娜,zh-TW
ドル,多爾,zh-TW
アルベルト,阿爾伯特,zh-TW
アルガリア,阿爾加利亞,zh-TW
ディスケンス,迪斯肯斯,zh-TW
エンゲイ,恩格,zh-TW
エムベル,恩貝爾,zh-TW
パリス,帕里斯,zh-TW
配置換え,配置變更,zh-TW
ナウマン,納烏曼,zh-TW
アルギィ,艾露姬,zh-TW
ナイン,奈因,zh-TW
幸運運び,幸運攜帶者,zh-TW
メイヴ,梅烏,zh-TW
ビュエリ,普耶里,zh-TW
リナリー,莉娜莉,zh-TW
ザークファ,扎克法,zh-TW
ガヴェル,加維爾,zh-TW
ウリャコフ,烏里亞科夫,zh-TW
トルーキー,托爾基,zh-TW
ルソヴェツ,盧森威,zh-TW
ザラマゾフ,薩拉馬佐夫,zh-TW
チェイム風邪,恰姆流感,zh-TW
ヨゼグラード,尤澤古拉德,zh-TW
エイリス,艾伊利斯,zh-TW
ブレイク,布萊克,zh-TW
オセロ,奧塞羅,zh-TW
ゴールドブラスト,黃金爆風,zh-TW
舐めてるのか,小看我們嗎,zh-TW
エライア,艾萊亞,zh-TW
ロウ,羅,zh-TW
クローリャ,克羅利亞,zh-TW
フリード,弗利德,zh-TW
セド君,賽德君,zh-TW
ヴァーニャ,瓦尼亞,zh-TW
イリゴル,伊利戈爾,zh-TW
ヴォック,伏克,zh-TW
ゴルスキィ,戈魯斯基,zh-TW
オース,奧斯,zh-TW
アニータ,阿妮塔,zh-TW
さん,桑,zh-TW
セドル,塞德爾,zh-TW
冷てぇ女,冷酷的女人,zh-TW
トゥーちゃん,托醬,zh-TW
フォッグマン,福格曼,zh-TW
フラメール,弗拉梅爾,zh-TW
ドールマン,多爾曼,zh-TW
レミ,蕾米,zh-TW
ゴスペル,戈斯佩爾,zh-TW
ザーフクァ,扎夫卡,zh-TW
パッシェン,帕邢,zh-TW
レイリィ,雷莉,zh-TW
レィターリュ,雷塔莉,zh-TW
突撃狂,突撃狂,zh-TW
突撃,突撃,zh-TW
ヴァロウ,瓦洛,zh-TW
ローヴェ,羅威,zh-TW
ファリス,法里斯,zh-TW
ブチャラッティ,布加拉提,zh-TW
オーディ,奧迪,zh-TW
エルマ,艾爾瑪,zh-TW
ラキャ,拉卡亞,zh-TW
タクマ,塔庫瑪,zh-TW
アルノマ,阿爾諾瑪,zh-TW
イゲル,伊蓋爾,zh-TW
マイア,瑪雅,zh-TW
クーシャ,庫夏,zh-TW
ニヴェム,尼維姆,zh-TW
アンリ,亨利,zh-TW
ベルン,貝倫,zh-TW
ヨット,優特,zh-TW
ウィン,溫尼,zh-TW
砦,要塞,zh-TW
ムソン,穆松,zh-TW
ゴムージ,戈姆吉,zh-TW
クソガキ,臭小鬼,zh-TW
ダラット,達拉特,zh-TW
ケイル,凱爾,zh-TW
トリアージ,檢傷分類,zh-TW
アリア,亞莉亞,zh-TW
マシュデール,瑪修戴爾,zh-TW
エーヴェム,埃维姆,zh-TW
シルフ,希爾芙,zh-TW
ノーヴァ,諾瓦,zh-TW
ブルスタフ,布魯斯塔夫,zh-TW
アレックス,艾力克斯,zh-TW
ヴェルディ,威爾第,zh-TW
ロドリー,羅德里,zh-TW
ナリドメ,納里多梅,zh-TW
カミキリ,神斬,zh-TW
レンヴェル,雷維爾,zh-TW
グレー,格雷,zh-TW
タール川,塔爾河,zh-TW
サバト,沙巴特,zh-TW
オースティン,奧斯汀,zh-TW
サルサ,沙爾薩,zh-TW
アレン,亞連,zh-TW
マリュー,馬琉,zh-TW
ガーバック,卡巴克,zh-TW
ゲール,蓋爾,zh-TW
バーニー,巴尼,zh-TW
ノエル,諾艾爾,zh-TW
トウリ,托莉,zh-TW
TS 衛生兵さんの成り上がり,性轉衛生兵的崛起,zh-TW
